geoid,name,B01003001,"B01003001, Error"
14000US36005000100,"Census Tract 1, Bronx, NY",6661,702
14000US36005000200,"Census Tract 2, Bronx, NY",4453,563
14000US36005000400,"Census Tract 4, Bronx, NY",6000,903
14000US36005001600,"Census Tract 16, Bronx, NY",6038,665
14000US36005001901,"Census Tract 19.01, Bronx, NY",2168,263
14000US36005001902,"Census Tract 19.02, Bronx, NY",1399,403
14000US36005001903,"Census Tract 19.03, Bronx, NY",0,13
14000US36005001904,"Census Tract 19.04, Bronx, NY",0,13
14000US36005002001,"Census Tract 20.01, Bronx, NY",4694,884
14000US36005002002,"Census Tract 20.02, Bronx, NY",4274,1037
14000US36005002300,"Census Tract 23, Bronx, NY",4465,642
14000US36005002400,"Census Tract 24, Bronx, NY",0,13
14000US36005002500,"Census Tract 25, Bronx, NY",5662,679
14000US36005002701,"Census Tract 27.01, Bronx, NY",2938,583
14000US36005002702,"Census Tract 27.02, Bronx, NY",4413,699
14000US36005002800,"Census Tract 28, Bronx, NY",5372,827
14000US36005003100,"Census Tract 31, Bronx, NY",2165,430
14000US36005003300,"Census Tract 33, Bronx, NY",3339,760
14000US36005003500,"Census Tract 35, Bronx, NY",3880,899
14000US36005003700,"Census Tract 37, Bronx, NY",277,83
14000US36005003800,"Census Tract 38, Bronx, NY",1313,153
14000US36005003900,"Census Tract 39, Bronx, NY",6710,1226
14000US36005004001,"Census Tract 40.01, Bronx, NY",1574,320
14000US36005004100,"Census Tract 41, Bronx, NY",5798,1391
14000US36005004200,"Census Tract 42, Bronx, NY",7803,987
14000US36005004300,"Census Tract 43, Bronx, NY",5527,694
14000US36005004400,"Census Tract 44, Bronx, NY",4551,503
14000US36005004600,"Census Tract 46, Bronx, NY",1826,365
14000US36005004800,"Census Tract 48, Bronx, NY",4464,606
14000US36005005001,"Census Tract 50.01, Bronx, NY",4304,630
14000US36005005002,"Census Tract 50.02, Bronx, NY",6393,1051
14000US36005005100,"Census Tract 51, Bronx, NY",6087,1101
14000US36005005200,"Census Tract 52, Bronx, NY",1833,269
14000US36005005300,"Census Tract 53, Bronx, NY",5472,709
14000US36005005400,"Census Tract 54, Bronx, NY",5638,820
14000US36005005600,"Census Tract 56, Bronx, NY",2168,352
14000US36005005902,"Census Tract 59.02, Bronx, NY",2730,480
14000US36005006000,"Census Tract 60, Bronx, NY",1295,363
14000US36005006100,"Census Tract 61, Bronx, NY",3955,628
14000US36005006200,"Census Tract 62, Bronx, NY",6710,809
14000US36005006301,"Census Tract 63.01, Bronx, NY",5521,793
14000US36005006302,"Census Tract 63.02, Bronx, NY",0,13
14000US36005006400,"Census Tract 64, Bronx, NY",4061,578
14000US36005006500,"Census Tract 65, Bronx, NY",5681,908
14000US36005006700,"Census Tract 67, Bronx, NY",6993,1404
14000US36005006800,"Census Tract 68, Bronx, NY",2765,569
14000US36005006900,"Census Tract 69, Bronx, NY",7255,1030
14000US36005007000,"Census Tract 70, Bronx, NY",4235,645
14000US36005007100,"Census Tract 71, Bronx, NY",2827,386
14000US36005007200,"Census Tract 72, Bronx, NY",6430,959
14000US36005007300,"Census Tract 73, Bronx, NY",4301,662
14000US36005007400,"Census Tract 74, Bronx, NY",3078,578
14000US36005007500,"Census Tract 75, Bronx, NY",6295,915
14000US36005007600,"Census Tract 76, Bronx, NY",5293,795
14000US36005007700,"Census Tract 77, Bronx, NY",2165,536
14000US36005007800,"Census Tract 78, Bronx, NY",6301,773
14000US36005007900,"Census Tract 79, Bronx, NY",7157,963
14000US36005008300,"Census Tract 83, Bronx, NY",6121,913
14000US36005008400,"Census Tract 84, Bronx, NY",3290,625
14000US36005008500,"Census Tract 85, Bronx, NY",5706,719
14000US36005008600,"Census Tract 86, Bronx, NY",4134,882
14000US36005008700,"Census Tract 87, Bronx, NY",6328,821
14000US36005008900,"Census Tract 89, Bronx, NY",3197,451
14000US36005009000,"Census Tract 90, Bronx, NY",3693,610
14000US36005009200,"Census Tract 92, Bronx, NY",6122,792
14000US36005009301,"Census Tract 93.01, Bronx, NY",4928,943
14000US36005009302,"Census Tract 93.02, Bronx, NY",566,163
14000US36005009600,"Census Tract 96, Bronx, NY",2762,385
14000US36005009800,"Census Tract 98, Bronx, NY",4818,714
14000US36005011000,"Census Tract 110, Bronx, NY",0,13
14000US36005011502,"Census Tract 115.02, Bronx, NY",4210,767
14000US36005011701,"Census Tract 117.01, Bronx, NY",1608,286
14000US36005011702,"Census Tract 117.02, Bronx, NY",0,13
14000US36005011800,"Census Tract 118, Bronx, NY",6041,764
14000US36005011900,"Census Tract 119, Bronx, NY",6193,1055
14000US36005012101,"Census Tract 121.01, Bronx, NY",3267,452
14000US36005012102,"Census Tract 121.02, Bronx, NY",1463,288
14000US36005012300,"Census Tract 123, Bronx, NY",4582,949
14000US36005012500,"Census Tract 125, Bronx, NY",4014,608
14000US36005012701,"Census Tract 127.01, Bronx, NY",2207,603
14000US36005012901,"Census Tract 129.01, Bronx, NY",4961,869
14000US36005013000,"Census Tract 130, Bronx, NY",1297,440
14000US36005013100,"Census Tract 131, Bronx, NY",5252,670
14000US36005013200,"Census Tract 132, Bronx, NY",7288,997
14000US36005013300,"Census Tract 133, Bronx, NY",6236,1186
14000US36005013500,"Census Tract 135, Bronx, NY",3492,681
14000US36005013800,"Census Tract 138, Bronx, NY",3077,513
14000US36005014100,"Census Tract 141, Bronx, NY",6384,668
14000US36005014300,"Census Tract 143, Bronx, NY",1579,293
14000US36005014400,"Census Tract 144, Bronx, NY",5781,1070
14000US36005014500,"Census Tract 145, Bronx, NY",7002,1445
14000US36005014701,"Census Tract 147.01, Bronx, NY",5864,1411
14000US36005014702,"Census Tract 147.02, Bronx, NY",5157,845
14000US36005014900,"Census Tract 149, Bronx, NY",4708,1184
14000US36005015100,"Census Tract 151, Bronx, NY",5311,912
14000US36005015200,"Census Tract 152, Bronx, NY",2565,387
14000US36005015300,"Census Tract 153, Bronx, NY",4226,751
14000US36005015500,"Census Tract 155, Bronx, NY",3089,625
14000US36005015700,"Census Tract 157, Bronx, NY",5155,762
14000US36005015800,"Census Tract 158, Bronx, NY",1423,330
14000US36005015900,"Census Tract 159, Bronx, NY",2164,562
14000US36005016000,"Census Tract 160, Bronx, NY",3891,686
14000US36005016100,"Census Tract 161, Bronx, NY",4787,731
14000US36005016200,"Census Tract 162, Bronx, NY",1712,360
14000US36005016300,"Census Tract 163, Bronx, NY",0,13
14000US36005016400,"Census Tract 164, Bronx, NY",1074,201
14000US36005016500,"Census Tract 165, Bronx, NY",1074,221
14000US36005016600,"Census Tract 166, Bronx, NY",2397,360
14000US36005016700,"Census Tract 167, Bronx, NY",3822,474
14000US36005016900,"Census Tract 169, Bronx, NY",1729,329
14000US36005017100,"Census Tract 171, Bronx, NY",0,13
14000US36005017300,"Census Tract 173, Bronx, NY",6373,890
14000US36005017500,"Census Tract 175, Bronx, NY",6768,1111
14000US36005017701,"Census Tract 177.01, Bronx, NY",4554,749
14000US36005017702,"Census Tract 177.02, Bronx, NY",5412,913
14000US36005017901,"Census Tract 179.01, Bronx, NY",4751,824
14000US36005017902,"Census Tract 179.02, Bronx, NY",4138,837
14000US36005018101,"Census Tract 181.01, Bronx, NY",3502,838
14000US36005018102,"Census Tract 181.02, Bronx, NY",5695,885
14000US36005018301,"Census Tract 183.01, Bronx, NY",4657,616
14000US36005018302,"Census Tract 183.02, Bronx, NY",3546,637
14000US36005018400,"Census Tract 184, Bronx, NY",4057,747
14000US36005018501,"Census Tract 185.01, Bronx, NY",3069,713
14000US36005018502,"Census Tract 185.02, Bronx, NY",6503,962
14000US36005018900,"Census Tract 189, Bronx, NY",8311,1150
14000US36005019300,"Census Tract 193, Bronx, NY",7126,926
14000US36005019400,"Census Tract 194, Bronx, NY",2162,377
14000US36005019500,"Census Tract 195, Bronx, NY",7766,1193
14000US36005019700,"Census Tract 197, Bronx, NY",7479,1085
14000US36005019900,"Census Tract 199, Bronx, NY",7899,1221
14000US36005020000,"Census Tract 200, Bronx, NY",5147,664
14000US36005020100,"Census Tract 201, Bronx, NY",3772,633
14000US36005020200,"Census Tract 202, Bronx, NY",2372,362
14000US36005020400,"Census Tract 204, Bronx, NY",3431,615
14000US36005020501,"Census Tract 205.01, Bronx, NY",7267,1252
14000US36005020502,"Census Tract 205.02, Bronx, NY",2515,340
14000US36005020601,"Census Tract 206.01, Bronx, NY",2425,538
14000US36005020900,"Census Tract 209, Bronx, NY",4997,733
14000US36005021001,"Census Tract 210.01, Bronx, NY",8111,953
14000US36005021002,"Census Tract 210.02, Bronx, NY",8192,1529
14000US36005021100,"Census Tract 211, Bronx, NY",6036,1132
14000US36005021200,"Census Tract 212, Bronx, NY",5157,740
14000US36005021301,"Census Tract 213.01, Bronx, NY",1397,576
14000US36005021302,"Census Tract 213.02, Bronx, NY",5865,967
14000US36005021501,"Census Tract 215.01, Bronx, NY",4445,717
14000US36005021502,"Census Tract 215.02, Bronx, NY",6772,934
14000US36005021601,"Census Tract 216.01, Bronx, NY",4625,656
14000US36005021602,"Census Tract 216.02, Bronx, NY",6195,900
14000US36005021700,"Census Tract 217, Bronx, NY",5220,669
14000US36005021800,"Census Tract 218, Bronx, NY",6154,1073
14000US36005021900,"Census Tract 219, Bronx, NY",963,228
14000US36005022000,"Census Tract 220, Bronx, NY",1917,492
14000US36005022101,"Census Tract 221.01, Bronx, NY",4030,832
14000US36005022102,"Census Tract 221.02, Bronx, NY",5995,776
14000US36005022200,"Census Tract 222, Bronx, NY",3169,544
14000US36005022300,"Census Tract 223, Bronx, NY",5553,784
14000US36005022401,"Census Tract 224.01, Bronx, NY",2517,384
14000US36005022403,"Census Tract 224.03, Bronx, NY",3061,407
14000US36005022404,"Census Tract 224.04, Bronx, NY",4736,577
14000US36005022500,"Census Tract 225, Bronx, NY",8818,1611
14000US36005022701,"Census Tract 227.01, Bronx, NY",4831,569
14000US36005022702,"Census Tract 227.02, Bronx, NY",1451,197
14000US36005022703,"Census Tract 227.03, Bronx, NY",1991,629
14000US36005022800,"Census Tract 228, Bronx, NY",6207,854
14000US36005022901,"Census Tract 229.01, Bronx, NY",5530,644
14000US36005022902,"Census Tract 229.02, Bronx, NY",3710,823
14000US36005023000,"Census Tract 230, Bronx, NY",2963,479
14000US36005023100,"Census Tract 231, Bronx, NY",1696,340
14000US36005023200,"Census Tract 232, Bronx, NY",2517,326
14000US36005023301,"Census Tract 233.01, Bronx, NY",4177,673
14000US36005023302,"Census Tract 233.02, Bronx, NY",3982,659
14000US36005023501,"Census Tract 235.01, Bronx, NY",3325,570
14000US36005023502,"Census Tract 235.02, Bronx, NY",4628,847
14000US36005023600,"Census Tract 236, Bronx, NY",1602,380
14000US36005023702,"Census Tract 237.02, Bronx, NY",1333,517
14000US36005023703,"Census Tract 237.03, Bronx, NY",5493,891
14000US36005023704,"Census Tract 237.04, Bronx, NY",3821,637
14000US36005023800,"Census Tract 238, Bronx, NY",2480,360
14000US36005023900,"Census Tract 239, Bronx, NY",8489,1622
14000US36005024000,"Census Tract 240, Bronx, NY",4618,775
14000US36005024100,"Census Tract 241, Bronx, NY",6921,899
14000US36005024300,"Census Tract 243, Bronx, NY",5575,638
14000US36005024400,"Census Tract 244, Bronx, NY",2512,368
14000US36005024501,"Census Tract 245.01, Bronx, NY",4475,586
14000US36005024502,"Census Tract 245.02, Bronx, NY",3848,685
14000US36005024600,"Census Tract 246, Bronx, NY",2065,334
14000US36005024700,"Census Tract 247, Bronx, NY",1967,294
14000US36005024800,"Census Tract 248, Bronx, NY",3370,538
14000US36005024900,"Census Tract 249, Bronx, NY",0,13
14000US36005025000,"Census Tract 250, Bronx, NY",2601,560
14000US36005025100,"Census Tract 251, Bronx, NY",6462,983
14000US36005025200,"Census Tract 252, Bronx, NY",2561,354
14000US36005025300,"Census Tract 253, Bronx, NY",6313,916
14000US36005025400,"Census Tract 254, Bronx, NY",2183,290
14000US36005025500,"Census Tract 255, Bronx, NY",7728,1022
14000US36005025600,"Census Tract 256, Bronx, NY",1464,283
14000US36005025700,"Census Tract 257, Bronx, NY",1793,354
14000US36005026100,"Census Tract 261, Bronx, NY",2114,336
14000US36005026300,"Census Tract 263, Bronx, NY",7124,1211
14000US36005026400,"Census Tract 264, Bronx, NY",6643,1117
14000US36005026500,"Census Tract 265, Bronx, NY",7505,1251
14000US36005026601,"Census Tract 266.01, Bronx, NY",3305,459
14000US36005026602,"Census Tract 266.02, Bronx, NY",5033,1094
14000US36005026701,"Census Tract 267.01, Bronx, NY",3639,828
14000US36005026702,"Census Tract 267.02, Bronx, NY",8183,1300
14000US36005026900,"Census Tract 269, Bronx, NY",4072,628
14000US36005027300,"Census Tract 273, Bronx, NY",7798,1188
14000US36005027401,"Census Tract 274.01, Bronx, NY",5148,769
14000US36005027402,"Census Tract 274.02, Bronx, NY",3611,577
14000US36005027600,"Census Tract 276, Bronx, NY",52,48
14000US36005027700,"Census Tract 277, Bronx, NY",4338,598
14000US36005027900,"Census Tract 279, Bronx, NY",8486,1263
14000US36005028100,"Census Tract 281, Bronx, NY",3757,410
14000US36005028300,"Census Tract 283, Bronx, NY",2841,1007
14000US36005028400,"Census Tract 284, Bronx, NY",544,214
14000US36005028500,"Census Tract 285, Bronx, NY",3763,547
14000US36005028600,"Census Tract 286, Bronx, NY",960,200
14000US36005028700,"Census Tract 287, Bronx, NY",3565,430
14000US36005028800,"Census Tract 288, Bronx, NY",3144,750
14000US36005028900,"Census Tract 289, Bronx, NY",4530,577
14000US36005029301,"Census Tract 293.01, Bronx, NY",1794,228
14000US36005029302,"Census Tract 293.02, Bronx, NY",6043,811
14000US36005029500,"Census Tract 295, Bronx, NY",4484,621
14000US36005029600,"Census Tract 296, Bronx, NY",1947,288
14000US36005029700,"Census Tract 297, Bronx, NY",4122,390
14000US36005030000,"Census Tract 300, Bronx, NY",6612,953
14000US36005030100,"Census Tract 301, Bronx, NY",1578,279
14000US36005030201,"Census Tract 302.01, Bronx, NY",3912,633
14000US36005030202,"Census Tract 302.02, Bronx, NY",5261,1072
14000US36005030701,"Census Tract 307.01, Bronx, NY",5718,1016
14000US36005030900,"Census Tract 309, Bronx, NY",4480,540
14000US36005031000,"Census Tract 310, Bronx, NY",4507,619
14000US36005031200,"Census Tract 312, Bronx, NY",1874,386
14000US36005031400,"Census Tract 314, Bronx, NY",2272,362
14000US36005031600,"Census Tract 316, Bronx, NY",1965,324
14000US36005031800,"Census Tract 318, Bronx, NY",2149,406
14000US36005031900,"Census Tract 319, Bronx, NY",211,234
14000US36005032300,"Census Tract 323, Bronx, NY",4789,584
14000US36005032400,"Census Tract 324, Bronx, NY",3326,582
14000US36005032600,"Census Tract 326, Bronx, NY",3643,645
14000US36005032800,"Census Tract 328, Bronx, NY",4140,492
14000US36005033000,"Census Tract 330, Bronx, NY",5575,693
14000US36005033201,"Census Tract 332.01, Bronx, NY",5334,978
14000US36005033202,"Census Tract 332.02, Bronx, NY",3775,516
14000US36005033400,"Census Tract 334, Bronx, NY",15,18
14000US36005033500,"Census Tract 335, Bronx, NY",2158,292
14000US36005033601,"Census Tract 336.01, Bronx, NY",4925,767
14000US36005033602,"Census Tract 336.02, Bronx, NY",1356,352
