geoid,name,B02001001,"B02001001, Error",B02001002,"B02001002, Error",B02001003,"B02001003, Error",B02001004,"B02001004, Error",B02001005,"B02001005, Error",B02001006,"B02001006, Error",B02001007,"B02001007, Error",B02001008,"B02001008, Error",B02001009,"B02001009, Error",B02001010,"B02001010, Error"
14000US36005000100,"Census Tract 1, Bronx, NY",6661,702,2680,292,3272,473,39,33,177,76,0,18,263,163,230,110,117,81,113,62
14000US36005000200,"Census Tract 2, Bronx, NY",4453,563,1235,373,1262,512,0,13,160,141,0,13,1450,581,346,263,232,242,114,111
14000US36005000400,"Census Tract 4, Bronx, NY",6000,903,1809,454,1472,476,18,28,177,158,0,18,1781,930,743,452,670,448,73,60
14000US36005001600,"Census Tract 16, Bronx, NY",6038,665,996,267,2322,534,213,223,65,89,0,18,1936,494,506,304,453,297,53,52
14000US36005001901,"Census Tract 19.01, Bronx, NY",2168,263,664,205,868,248,27,43,0,13,0,13,512,229,97,69,74,65,23,21
14000US36005001902,"Census Tract 19.02, Bronx, NY",1399,403,291,130,436,108,29,37,55,47,0,13,433,369,155,100,77,57,78,90
14000US36005001903,"Census Tract 19.03, Bronx, NY",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US36005001904,"Census Tract 19.04, Bronx, NY",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US36005002001,"Census Tract 20.01, Bronx, NY",4694,884,507,372,2745,669,0,13,0,13,0,13,1104,664,338,253,104,98,234,265
14000US36005002002,"Census Tract 20.02, Bronx, NY",4274,1037,950,715,843,411,110,259,0,13,0,13,1907,744,464,674,50,157,414,656
14000US36005002300,"Census Tract 23, Bronx, NY",4465,642,699,340,1567,402,2,6,0,13,0,13,1982,514,215,244,166,239,49,45
14000US36005002400,"Census Tract 24, Bronx, NY",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US36005002500,"Census Tract 25, Bronx, NY",5662,679,1142,427,1472,430,18,27,0,18,49,73,2455,662,526,417,207,139,319,307
14000US36005002701,"Census Tract 27.01, Bronx, NY",2938,583,184,85,1065,425,0,13,0,13,0,13,1584,536,105,92,105,92,0,13
14000US36005002702,"Census Tract 27.02, Bronx, NY",4413,699,374,162,1606,605,78,112,0,13,0,13,1913,544,442,263,347,249,95,103
