,geoid,name,total_population,poc_percent,female_pop_percent,poverty_level_percent,over_65_percent
0,14000US36005000100,"Census Tract 1, Bronx, NY",6661,59.76580093079117,7.26617624981234,0.0,1.351148476204774
1,14000US36005000200,"Census Tract 2, Bronx, NY",4453,72.26588816528184,44.39703570626544,22.77116550640018,18.549292611722436
2,14000US36005000400,"Census Tract 4, Bronx, NY",6000,69.85,49.766666666666666,4.0,15.55
3,14000US36005001600,"Census Tract 16, Bronx, NY",6038,83.50447167936403,58.396820139118915,15.750248426631336,19.16197416363034
4,14000US36005001901,"Census Tract 19.01, Bronx, NY",2168,69.37269372693727,54.19741697416974,27.490774907749078,1.522140221402214
5,14000US36005001902,"Census Tract 19.02, Bronx, NY",1399,79.19942816297355,47.60543245175125,19.799857040743387,4.717655468191565
6,14000US36005001903,"Census Tract 19.03, Bronx, NY",0,,,,
7,14000US36005001904,"Census Tract 19.04, Bronx, NY",0,,,,
8,14000US36005002001,"Census Tract 20.01, Bronx, NY",4694,89.1989774179804,58.03152961227099,46.5913932680017,10.77971878994461
9,14000US36005002002,"Census Tract 20.02, Bronx, NY",4274,77.77257838090782,39.892372484791764,34.62798315395414,16.799251286850726
10,14000US36005002300,"Census Tract 23, Bronx, NY",4465,84.34490481522957,51.17581187010079,42.12765957446808,12.945128779395297
11,14000US36005002400,"Census Tract 24, Bronx, NY",0,,,,
12,14000US36005002500,"Census Tract 25, Bronx, NY",5662,79.8304486047333,47.12115860120099,45.160720593429886,8.371600141292829
13,14000US36005002701,"Census Tract 27.01, Bronx, NY",2938,93.73723621511232,57.147719537100066,56.6712049012934,14.805990469707284
14,14000US36005002702,"Census Tract 27.02, Bronx, NY",4413,91.5250396555631,56.265578971221395,54.72467709041469,7.659188760480399
15,14000US36005002800,"Census Tract 28, Bronx, NY",5372,91.3626209977662,59.27029039463887,2.848101265822785,17.31198808637379
16,14000US36005003100,"Census Tract 31, Bronx, NY",2165,84.3418013856813,57.55196304849885,17.182448036951502,6.466512702078522
17,14000US36005003300,"Census Tract 33, Bronx, NY",3339,91.97364480383348,59.478885893980234,52.02156334231806,9.374064091045224
18,14000US36005003500,"Census Tract 35, Bronx, NY",3880,84.94845360824742,55.28350515463917,38.55670103092783,8.530927835051546
19,14000US36005003700,"Census Tract 37, Bronx, NY",277,91.33574007220217,50.541516245487365,28.880866425992778,10.108303249097473
20,14000US36005003800,"Census Tract 38, Bronx, NY",1313,46.23000761614623,54.074638233054074,13.023610053313023,18.354912414318356
21,14000US36005003900,"Census Tract 39, Bronx, NY",6710,82.22056631892697,52.622950819672134,39.582712369597616,10.581222056631892
22,14000US36005004001,"Census Tract 40.01, Bronx, NY",1574,84.49809402795425,49.23761118170267,19.250317662007625,15.184243964421855
23,14000US36005004100,"Census Tract 41, Bronx, NY",5798,83.14936184891341,56.295274232493966,48.309761986892035,10.848568471886857
24,14000US36005004200,"Census Tract 42, Bronx, NY",7803,75.41971036780726,56.209150326797385,23.490965013456364,10.726643598615917
25,14000US36005004300,"Census Tract 43, Bronx, NY",5527,79.55491224895965,54.02569205717387,35.444183101139856,9.806404921295458
26,14000US36005004400,"Census Tract 44, Bronx, NY",4551,89.7824653922215,55.064820918479455,48.648648648648646,13.601406284333114
27,14000US36005004600,"Census Tract 46, Bronx, NY",1826,74.26067907995619,57.88608981380066,48.19277108433735,15.881708652792991
28,14000US36005004800,"Census Tract 48, Bronx, NY",4464,93.32437275985663,48.38709677419355,25.918458781362006,7.750896057347671
29,14000US36005005001,"Census Tract 50.01, Bronx, NY",4304,96.16635687732342,52.02137546468401,49.74442379182156,8.643122676579926
